Gene_id	Gene_symbol	Protein_name	Uniprot_ACC
ENSMUSG00000022900	Ildr1	Immunoglobulin-like domain-containing receptor 1	ILDR1_MOUSE
ENSMUSG00000038459	Abhd17c	Alpha/beta hydrolase domain-containing protein 17C	AB17C_MOUSE
ENSMUSG00000001441	Npepps	Puromycin-sensitive aminopeptidase	PSA_MOUSE
ENSMUSG00000030754	Copb1	Coatomer subunit beta	COPB_MOUSE
ENSMUSG00000052854	Nrk	Nik-related protein kinase	NRK_MOUSE
ENSMUSG00000061360	Phf5a	PHD finger-like domain-containing protein 5A	PHF5A_MOUSE
ENSMUSG00000078851	H2aw	Histone H2A type 3	H2A3_MOUSE
ENSMUSG00000042659	Arrdc4	Arrestin domain-containing protein 4	ARRD4_MOUSE
ENSMUSG00000031953	Tmem170	Transmembrane protein 170A	T170A_MOUSE
ENSMUSG00000039395	Mreg	Melanoregulin	MREG_MOUSE
ENSMUSG00000096630	Vmn2r26	Vomeronasal type-2 receptor 26	V2R26_MOUSE
ENSMUSG00000036501	Fam13b	Protein FAM13B	FA13B_MOUSE
ENSMUSG00000044340	Phlpp1	PH domain leucine-rich repeat-containing protein phosphatase 1	PHLP1_MOUSE
ENSMUSG00000050370	Ch25h	Cholesterol 25-hydroxylase	CH25H_MOUSE
ENSMUSG00000027997	Casp6	Caspase-6	CASP6_MOUSE
ENSMUSG00000033186	Mzt1	Mitotic-spindle organizing protein 1	MZT1_MOUSE
ENSMUSG00000100708	Gm21173		
ENSMUSG00000028563	Tm2d1	TM2 domain-containing protein 1	TM2D1_MOUSE
ENSMUSG00000026577	Blzf1	Golgin-45	GO45_MOUSE
ENSMUSG00000020123	Avpr1a	Vasopressin V1a receptor	V1AR_MOUSE
ENSMUSG00000034165	Ccnd3	G1/S-specific cyclin-D3	CCND3_MOUSE
ENSMUSG00000038630	Zkscan16	Zinc finger with KRAB and SCAN domains 16	A2ALW2_MOUSE
ENSMUSG00000034639	Setmar	Histone-lysine N-methyltransferase SETMAR	SETMR_MOUSE
ENSMUSG00000030888	Rrp8	Ribosomal RNA-processing protein 8	RRP8_MOUSE
ENSMUSG00000028003	Lrat	Lecithin retinol acyltransferase	LRAT_MOUSE
ENSMUSG00000095135	Gm21858		
ENSMUSG00000062184	Hs6st2	Heparan-sulfate 6-O-sulfotransferase 2	H6ST2_MOUSE
ENSMUSG00000015247	Nipsnap3b	Protein NipSnap homolog 3B	NPS3B_MOUSE
ENSMUSG00000038323	1700066M21Rik	UPF0565 protein C2orf69 homolog	CB069_MOUSE
ENSMUSG00000048960	Prex2	Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 2 protein	PREX2_MOUSE
ENSMUSG00000052187	Hbb-y	Hemoglobin subunit epsilon-Y2	HBE_MOUSE
ENSMUSG00000046916	Myct1	Myc target protein 1	MYCT1_MOUSE
ENSMUSG00000032059	Alg9	Alpha-1,2-mannosyltransferase ALG9	ALG9_MOUSE
ENSMUSG00000040740	Slc25a34	Solute carrier family 25 member 34	S2534_MOUSE
ENSMUSG00000033147	Slc22a15	Solute carrier family 22 member 15	S22AF_MOUSE
ENSMUSG00000115018	Ndor1.ENSMUSG00000115018		
ENSMUSG00000097333	Zfp87	Zinc finger protein 87	M0QW75_MOUSE
ENSMUSG00000009739	Pou6f1	POU domain, class 6, transcription factor 1	PO6F1_MOUSE
ENSMUSG00000031629	Cenpu	Centromere protein U	CENPU_MOUSE
ENSMUSG00000037266	Rsrp1	Arginine/serine-rich protein 1	RSRP1_MOUSE
ENSMUSG00000032171	Pin1	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	PIN1_MOUSE
ENSMUSG00000038518	Jarid2	Protein Jumonji	JARD2_MOUSE
ENSMUSG00000006782	Cnp	2',3'-cyclic-nucleotide 3'-phosphodiesterase	CN37_MOUSE
ENSMUSG00000048706	Lurap1l	Leucine rich adaptor protein 1-like	LUR1L_MOUSE
ENSMUSG00000028821	Syf2	Pre-mRNA-splicing factor SYF2	SYF2_MOUSE
ENSMUSG00000020705	Ddx42	ATP-dependent RNA helicase DDX42	DDX42_MOUSE
ENSMUSG00000051890	Klhdc1	Kelch domain-containing protein 1	KLDC1_MOUSE
ENSMUSG00000028343	Erp44	Endoplasmic reticulum resident protein 44	ERP44_MOUSE
ENSMUSG00000022551	Cyc1	Cytochrome c1, heme protein, mitochondrial	CY1_MOUSE
ENSMUSG00000039218	Srrm2	Serine/arginine repetitive matrix protein 2	SRRM2_MOUSE
ENSMUSG00000027940	Tpm3	Tropomyosin alpha-3 chain	TPM3_MOUSE
ENSMUSG00000020114	Cand1	Cullin-associated NEDD8-dissociated protein 1	CAND1_MOUSE
ENSMUSG00000038384	Setd1b	Histone-lysine N-methyltransferase SETD1B	SET1B_MOUSE
ENSMUSG00000081769	Gm12216	Predicted gene 12216	A0A1W2P827_MOUSE
ENSMUSG00000037344	Slc12a9	Solute carrier family 12 member 9	S12A9_MOUSE
ENSMUSG00000028034	Fubp1	Far upstream element-binding protein 1	FUBP1_MOUSE
ENSMUSG00000055421	Pcdh9	Protocadherin 9	A0A0A6YVP5_MOUSE
ENSMUSG00000089917	Uckl1	Uridine-cytidine kinase-like 1	UCKL1_MOUSE
ENSMUSG00000033416	Gucd1	Protein GUCD1	GUCD1_MOUSE
ENSMUSG00000063488	Zkscan7	Zinc finger with KRAB and SCAN domains 7	A0A1L1SU99_MOUSE
ENSMUSG00000009210	Prr29	Proline-rich protein 29	PRR29_MOUSE
ENSMUSG00000006464	Bbs1	Bardet-Biedl syndrome 1 protein homolog	BBS1_MOUSE
ENSMUSG00000002477	Snrpd1	Small nuclear ribonucleoprotein Sm D1	SMD1_MOUSE
ENSMUSG00000017801	Mlx	Max-like protein X	MLX_MOUSE
ENSMUSG00000030606	Hapln3	Hyaluronan and proteoglycan link protein 3	HPLN3_MOUSE
ENSMUSG00000039114	Nrn1	Neuritin	NRN1_MOUSE
ENSMUSG00000041845	Rhod	Rho-related GTP-binding protein RhoD	RHOD_MOUSE
ENSMUSG00000026102	Inpp1	Inositol polyphosphate 1-phosphatase	INPP_MOUSE
ENSMUSG00000039473	Ubn1	Ubinuclein-1	UBN1_MOUSE
ENSMUSG00000027523	Gnas	Protein ALEX	ALEX_MOUSE
ENSMUSG00000026004	Kansl1l	KAT8 regulatory NSL complex subunit 1-like protein	KAL1L_MOUSE
ENSMUSG00000026315	Serpinb8	Serpin B8	SPB8_MOUSE
ENSMUSG00000032998	Foxj3	Forkhead box protein J3	FOXJ3_MOUSE
ENSMUSG00000028879	Stx12	Syntaxin-12	STX12_MOUSE
ENSMUSG00000039956	Mrap	Melanocortin-2 receptor accessory protein	MRAP_MOUSE
ENSMUSG00000032547	Ryk	Tyrosine-protein kinase RYK	RYK_MOUSE
ENSMUSG00000030264	Thumpd3	THUMP domain-containing protein 3	THUM3_MOUSE
ENSMUSG00000040867	Begain	Brain-enriched guanylate kinase-associated protein	BEGIN_MOUSE
ENSMUSG00000032572	Col6a4	Collagen alpha-4(VI) chain	CO6A4_MOUSE
ENSMUSG00000019883	Echdc1	Ethylmalonyl-CoA decarboxylase	ECHD1_MOUSE
ENSMUSG00000090625	Gm20721		
ENSMUSG00000025877	Hk3	Hexokinase-3	HXK3_MOUSE
ENSMUSG00000047050	Olfr914	Olfactory receptor	E9PW59_MOUSE
ENSMUSG00000028884	Rpa2	Replication protein A 32 kDa subunit	RFA2_MOUSE
ENSMUSG00000037784	Dzip1l	Zinc finger protein DZIP1L	DZI1L_MOUSE
ENSMUSG00000031329	Tsx	Testis-specific protein TSX	TSX_MOUSE
ENSMUSG00000021687	Scamp1	Secretory carrier-associated membrane protein 1	SCAM1_MOUSE
ENSMUSG00000026944	Abca2	ATP-binding cassette sub-family A member 2	ABCA2_MOUSE
ENSMUSG00000036867	Smad6	Mothers against decapentaplegic homolog 6	SMAD6_MOUSE
ENSMUSG00000026817	Ak1	Adenylate kinase isoenzyme 1	KAD1_MOUSE
ENSMUSG00000024381	Bin1	Myc box-dependent-interacting protein 1	BIN1_MOUSE
ENSMUSG00000007891	Ctsd	Cathepsin D	CATD_MOUSE
ENSMUSG00000031262	Cenpi	Centromere protein I	CENPI_MOUSE
ENSMUSG00000024900	Cpt1a	Carnitine O-palmitoyltransferase 1, liver isoform	CPT1A_MOUSE
ENSMUSG00000024789	Jak2	Tyrosine-protein kinase JAK2	JAK2_MOUSE
ENSMUSG00000040254	Sema3d	Semaphorin-3D	SEM3D_MOUSE
ENSMUSG00000023991	Foxp4	Forkhead box protein P4	FOXP4_MOUSE
ENSMUSG00000030314	Atg7	Ubiquitin-like modifier-activating enzyme ATG7	ATG7_MOUSE
ENSMUSG00000022194	Pabpn1	Bcl-2-like protein 2	B2CL2_MOUSE
ENSMUSG00000047953	Gp5	Platelet glycoprotein V	GPV_MOUSE
ENSMUSG00000042225	Ammecr1	AMME syndrome candidate gene 1 protein homolog	AMMR1_MOUSE
ENSMUSG00000048696	Mex3d	RNA-binding protein MEX3D	MEX3D_MOUSE
ENSMUSG00000024426	Atat1	Alpha-tubulin N-acetyltransferase 1	ATAT_MOUSE
ENSMUSG00000091898	Tnnc1	Troponin C, slow skeletal and cardiac muscles	TNNC1_MOUSE
ENSMUSG00000037822	Smim14	Small integral membrane protein 14	SIM14_MOUSE
ENSMUSG00000036275	9530068E07Rik	Keratinocyte-associated transmembrane protein 2	KCT2_MOUSE
ENSMUSG00000043300	B3galnt1	UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1	B3GL1_MOUSE
ENSMUSG00000029578	Wipi2	WD repeat domain phosphoinositide-interacting protein 2	WIPI2_MOUSE
ENSMUSG00000038524	Fchsd1	F-BAR and double SH3 domains protein 1	FCSD1_MOUSE
ENSMUSG00000029817	Tra2a	Transformer-2 protein homolog alpha	TRA2A_MOUSE
ENSMUSG00000009470	Tnpo1	Transportin-1	TNPO1_MOUSE
ENSMUSG00000002396	Ocel1	Occludin/ELL domain-containing protein 1	OCEL1_MOUSE
ENSMUSG00000062991	Nrg1	Neuregulin 1	A0A140LHD8_MOUSE
ENSMUSG00000058258	Idi1	Isopentenyl-diphosphate Delta-isomerase 1	IDI1_MOUSE
ENSMUSG00000044534	Ackr2	Atypical chemokine receptor 2	ACKR2_MOUSE
ENSMUSG00000022221	Ripk3	Receptor-interacting serine/threonine-protein kinase 3	RIPK3_MOUSE
ENSMUSG00000046034	Otulin	Ubiquitin thioesterase otulin	OTUL_MOUSE
ENSMUSG00000032815	Fanca	Fanconi anemia group A protein homolog	FANCA_MOUSE
ENSMUSG00000036875	Dna2	DNA replication ATP-dependent helicase/nuclease DNA2	DNA2_MOUSE
ENSMUSG00000025229	Pitx3	Pituitary homeobox 3	PITX3_MOUSE
ENSMUSG00000046748	Tmem45a2	2310005G13Rik protein	B7ZWJ5_MOUSE
ENSMUSG00000028865	Cd164l2	CD164 sialomucin-like 2 protein	C16L2_MOUSE
ENSMUSG00000090862	Rps13	40S ribosomal protein S13	RS13_MOUSE
ENSMUSG00000033831	Fgb	Fibrinogen beta chain	FIBB_MOUSE
ENSMUSG00000030257	Srgap3	SLIT-ROBO Rho GTPase-activating protein 3	SRGP3_MOUSE
ENSMUSG00000033096	Apmap	Adipocyte plasma membrane-associated protein	APMAP_MOUSE
ENSMUSG00000007029	Vars	Valine--tRNA ligase	SYVC_MOUSE
ENSMUSG00000031173	Otc	Ornithine transcarbamylase, mitochondrial	OTC_MOUSE
ENSMUSG00000032936	Camkv	CaM kinase-like vesicle-associated protein	CAMKV_MOUSE
ENSMUSG00000049882	Vcpkmt	Protein-lysine methyltransferase METTL21D	MT21D_MOUSE
ENSMUSG00000047710	Champ1	Chromosome alignment-maintaining phosphoprotein 1	CHAP1_MOUSE
ENSMUSG00000054342	Kcnn4	Intermediate conductance calcium-activated potassium channel protein 4	KCNN4_MOUSE
ENSMUSG00000026849	Tor1a	Torsin-1A	TOR1A_MOUSE
ENSMUSG00000031861	Lpar2	Lysophosphatidic acid receptor 2	LPAR2_MOUSE
ENSMUSG00000051515	Fam181b	Protein FAM181B	F181B_MOUSE
ENSMUSG00000028756	Pink1	Serine/threonine-protein kinase PINK1, mitochondrial	PINK1_MOUSE
ENSMUSG00000100679	Gm28778		
ENSMUSG00000027194	Ttc17	Tetratricopeptide repeat protein 17	TTC17_MOUSE
ENSMUSG00000026109	Tmeff2	Tomoregulin-2	TEFF2_MOUSE
ENSMUSG00000020170	Frs2	Fibroblast growth factor receptor substrate 2	FRS2_MOUSE
ENSMUSG00000039983	Ccdc32	Coiled-coil domain-containing protein 32	CCD32_MOUSE
ENSMUSG00000022089	Bin3	Bridging integrator 3	BIN3_MOUSE
ENSMUSG00000069265	H3c1	Histone H3.1	H31_MOUSE
ENSMUSG00000046792	Zfp787	Zinc finger protein 787	ZN787_MOUSE
ENSMUSG00000003848	Nob1	RNA-binding protein NOB1	NOB1_MOUSE
ENSMUSG00000050423	Ppp1r3g	Protein phosphatase 1 regulatory subunit 3G	PP13G_MOUSE
ENSMUSG00000021086	Ccdc175	Coiled-coil domain-containing protein 175	CC175_MOUSE
ENSMUSG00000028940	Hes2	Transcription factor HES-2	HES2_MOUSE
ENSMUSG00000078887	Gm6710	Predicted gene 14391	A2ART0_MOUSE
ENSMUSG00000030495	Slc7a10	Asc-type amino acid transporter 1	AAA1_MOUSE
ENSMUSG00000033953	Ppp3r1	Calcineurin subunit B type 1	CANB1_MOUSE
ENSMUSG00000040505	Abcg5	ATP-binding cassette sub-family G member 5	ABCG5_MOUSE
ENSMUSG00000002897	Il17ra	Interleukin-17 receptor A	I17RA_MOUSE
ENSMUSG00000025586	Cpeb1	Cytoplasmic polyadenylation element-binding protein 1	CPEB1_MOUSE
ENSMUSG00000033488	Cryzl2	Quinone oxidoreductase-like protein 2	QORL2_MOUSE
ENSMUSG00000032750	Gab3	GRB2-associated-binding protein 3	GAB3_MOUSE
ENSMUSG00000040711	Sh3pxd2b	SH3 and PX domain-containing protein 2B	SPD2B_MOUSE
ENSMUSG00000030753	Thap12	52 kDa repressor of the inhibitor of the protein kinase	P52K_MOUSE
ENSMUSG00000022066	Entpd4b		
ENSMUSG00000040225	Prrc2c	Protein PRRC2C	PRC2C_MOUSE
ENSMUSG00000024669	Cd5	T-cell surface glycoprotein CD5	CD5_MOUSE
ENSMUSG00000079108	Srp54c	Signal recognition particle 54 kDa protein	E9PXC0_MOUSE
ENSMUSG00000031379	Pir	Pirin	PIR_MOUSE
ENSMUSG00000056995	Olfr1178	Olfactory receptor	Q7TR20_MOUSE
ENSMUSG00000021702	Thbs4	Thrombospondin-4	TSP4_MOUSE
ENSMUSG00000028640	Tfap2c	Transcription factor AP-2 gamma	AP2C_MOUSE
ENSMUSG00000038539	Atf5	Cyclic AMP-dependent transcription factor ATF-5	ATF5_MOUSE
ENSMUSG00000048332	Lhfp	LHFPL tetraspan subfamily member 6 protein	LHPL6_MOUSE
ENSMUSG00000033793	Atp6v1h	V-type proton ATPase subunit H	VATH_MOUSE
ENSMUSG00000044066	Cep68	Centrosomal protein of 68 kDa	CEP68_MOUSE
ENSMUSG00000033983	Coil	Coilin	COIL_MOUSE
ENSMUSG00000092225	Gm2381	Predicted gene 2381	G3UY53_MOUSE
ENSMUSG00000031523	Dlc1	Rho GTPase-activating protein 7	RHG07_MOUSE
ENSMUSG00000024213	Nudt3	Diphosphoinositol polyphosphate phosphohydrolase 1	NUDT3_MOUSE
ENSMUSG00000047911	Npm2	Nucleoplasmin-2	NPM2_MOUSE
ENSMUSG00000040139	9430038I01Rik	Uncharacterized protein C10orf143 homolog	CJ143_MOUSE
ENSMUSG00000028614	Ndc1	Nucleoporin NDC1	NDC1_MOUSE
ENSMUSG00000048376	F2r	Proteinase-activated receptor 1	PAR1_MOUSE
ENSMUSG00000060181	Slc35e3	Solute carrier family 35 member E3	S35E3_MOUSE
ENSMUSG00000048120	Entpd1	Ectonucleoside triphosphate diphosphohydrolase 1	ENTP1_MOUSE
ENSMUSG00000003380	Rabac1	Prenylated Rab acceptor protein 1	PRAF1_MOUSE
ENSMUSG00000051378	Kif18b	Kinesin-like protein KIF18B	KI18B_MOUSE
ENSMUSG00000030731	Syt3	Synaptotagmin-3	SYT3_MOUSE
ENSMUSG00000045761	Togaram2	TOG array regulator of axonemal microtubules protein 2	TGRM2_MOUSE
ENSMUSG00000019966	Kitl	Kit ligand	SCF_MOUSE
ENSMUSG00000039239	Tgfb2	Transforming growth factor beta-2 proprotein	TGFB2_MOUSE
ENSMUSG00000058579	Cela2a	Chymotrypsin-like elastase family member 2A	CEL2A_MOUSE
ENSMUSG00000022304	Dpys	Dihydropyrimidinase	DPYS_MOUSE
ENSMUSG00000006542	Prkag3	5'-AMP-activated protein kinase subunit gamma-3	AAKG3_MOUSE
ENSMUSG00000032047	Acat1	Acetyl-CoA acetyltransferase, mitochondrial	THIL_MOUSE
ENSMUSG00000064145	Arih2	E3 ubiquitin-protein ligase ARIH2	ARI2_MOUSE
ENSMUSG00000046408	1700067K01Rik	UPF0575 protein C19orf67 homolog	CS067_MOUSE
ENSMUSG00000030030	1700003E16Rik	Uncharacterized protein C2orf81 homolog	CB081_MOUSE
ENSMUSG00000023008	Fmnl3	Formin-like protein 3	FMNL3_MOUSE
ENSMUSG00000033740	St18	Suppression of tumorigenicity 18 protein	ST18_MOUSE
ENSMUSG00000042784	Muc1	Mucin-1	MUC1_MOUSE
ENSMUSG00000029283	Cdc7	Cell division cycle 7-related protein kinase	CDC7_MOUSE
ENSMUSG00000091387	Gcnt4	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4	GCNT4_MOUSE
ENSMUSG00000021363	Mak	Serine/threonine-protein kinase MAK	MAK_MOUSE
ENSMUSG00000022722	Arl6	ADP-ribosylation factor-like protein 6	ARL6_MOUSE
ENSMUSG00000039968	Rsbn1l	Round spermatid basic protein 1-like	A0A0G2JDQ6_MOUSE
ENSMUSG00000049755	Zfp672	Zinc finger protein 672	ZN672_MOUSE
ENSMUSG00000032523	Hhatl	Protein-cysteine N-palmitoyltransferase HHAT-like protein	HHATL_MOUSE
ENSMUSG00000020935	Dcakd	Dephospho-CoA kinase domain-containing protein	DCAKD_MOUSE
ENSMUSG00000040522	Tlr8	Toll-like receptor 8	TLR8_MOUSE
ENSMUSG00000051728	Fam243	Protein FAM243A	FA243_MOUSE
ENSMUSG00000078675	Mup16	Major urinary protein 6	MUP6_MOUSE
ENSMUSG00000034574	Daam1	Disheveled-associated activator of morphogenesis 1	DAAM1_MOUSE
ENSMUSG00000024052	Lpin2	Phosphatidate phosphatase LPIN2	LPIN2_MOUSE
ENSMUSG00000050304	Slc25a2	Mutant ornithine transporter 2	Q99ML6_MOUSE
ENSMUSG00000045394	Epcam	Epithelial cell adhesion molecule	EPCAM_MOUSE
ENSMUSG00000028060	Khdc4	KH homology domain-containing protein 4	KHDC4_MOUSE
ENSMUSG00000044375	Pcare	Photoreceptor cilium actin regulator	PCARE_MOUSE
ENSMUSG00000021728	Emb	Embigin	EMB_MOUSE
ENSMUSG00000026443	Lrrn2	Leucine-rich-repeat protein	Q61974_MOUSE
ENSMUSG00000078794	Dact3	Dapper homolog 3	DACT3_MOUSE
ENSMUSG00000022228	Zscan26	Zinc finger and SCAN domain-containing protein 26	ZSC26_MOUSE
ENSMUSG00000074623	Gm826	Predicted gene 826	A2A5Q3_MOUSE
ENSMUSG00000053963	Stum	Protein stum homolog	STUM_MOUSE
ENSMUSG00000090841	Myl6	Myosin light polypeptide 6	MYL6_MOUSE
ENSMUSG00000089675	Ugt1a8	UDP-glucuronosyltransferase	D3Z748_MOUSE
ENSMUSG00000095961	Vmn2r102	Vomeronasal 2, receptor 102	L7N279_MOUSE
ENSMUSG00000071078	Nr2c2ap	Nuclear receptor 2C2-associated protein	NR2CA_MOUSE
ENSMUSG00000059434	Gckr	Glucokinase regulatory protein	GCKR_MOUSE
ENSMUSG00000068115	Ninl	Ninein-like protein	NINL_MOUSE
ENSMUSG00000005102	Eif2ak4	eIF-2-alpha kinase GCN2	E2AK4_MOUSE
ENSMUSG00000020737	Jpt1	Jupiter microtubule associated homolog 1	JUPI1_MOUSE
ENSMUSG00000073982	Rhog	Rho-related GTP-binding protein RhoG	RHOG_MOUSE
ENSMUSG00000041984	Rptn	Repetin	RPTN_MOUSE
ENSMUSG00000027318	Adam33	Disintegrin and metalloproteinase domain-containing protein 33	ADA33_MOUSE
ENSMUSG00000027435	Cd93	Complement component C1q receptor	C1QR1_MOUSE
ENSMUSG00000022471	Xrcc6	X-ray repair cross-complementing protein 6	XRCC6_MOUSE
ENSMUSG00000068009	Bpifb6	BPI fold-containing family B member 6	BPIB6_MOUSE
ENSMUSG00000039844	Rapgef1	Rap guanine nucleotide exchange factor (GEF) 1	A0A5F8MPI9_MOUSE
ENSMUSG00000029468	P2rx7	P2X purinoceptor 7	P2RX7_MOUSE
ENSMUSG00000034135	Sik3	Serine/threonine-protein kinase SIK3	SIK3_MOUSE
ENSMUSG00000092118	Fancf	Fanconi anemia group F protein	FANCF_MOUSE
ENSMUSG00000071176	Arhgef10	Rho guanine nucleotide exchange factor 10	ARHGA_MOUSE
ENSMUSG00000045684	Lcn6	LCN6 isoform alpha	A2AJB9_MOUSE
ENSMUSG00000064036	Mro	Protein maestro	MSTRO_MOUSE
ENSMUSG00000005947	Itgae	Integrin alpha-E	ITAE_MOUSE
ENSMUSG00000067919	Rex2	Reduced expression 2	A2AWF2_MOUSE
ENSMUSG00000018868	Pnpla5	Patatin-like phospholipase domain-containing protein 5	PLPL5_MOUSE
ENSMUSG00000007805	Twist2	Twist-related protein 2	TWST2_MOUSE
ENSMUSG00000118215	Vmn1r55	Vomeronasal type-1 receptor	E9Q8I6_MOUSE
ENSMUSG00000038708	Golga4	Golgin subfamily A member 4	GOGA4_MOUSE
ENSMUSG00000025816	Sec61a2	Protein transport protein Sec61 subunit alpha isoform 2	S61A2_MOUSE
